点名,設計追加距離,離れ,現況測点,X(北),Y(東),Z(初期値),Z路盤天端,Z実測（記入）,備考
AR1,1914.000,10.600,NO.95+14.926,84708.883,78794.384,8.427,8.227,,天端頂点
AR2,1953.000,10.600,NO.97+14.114,84711.636,78756.179,8.557,8.357,,天端頂点
AR3,1992.000,10.600,NO.99+13.101,84716.817,78718.054,8.687,8.487,,天端頂点
AR4,2031.000,10.600,NO.101+12.101,84722.781,78679.513,8.817,8.617,,天端頂点
AR5,2070.000,10.600,NO.103+11.101,84728.744,78640.972,8.947,8.747,,天端頂点
AR6,2109.000,10.600,NO.105+10.495,84737.282,78605.926,9.078,8.878,,天端頂点
AR7,1914.000,4.500,NO.95+14.926,84702.788,78794.143,6.700,6.700,,川表法面（AR1 の対）
AR8,1992.000,4.500,NO.99+13.101,84710.789,78717.122,6.700,6.700,,川表法面（AR3 の対）
AR9,2070.000,4.500,NO.103+11.101,84722.716,78640.039,6.700,6.700,,川表法面（AR5 の対）
AR10,1939.000,20.000,NO.96+19.916,84719.731,78770.634,6.600,6.600,,★川裏の平場（NO.97 付近。他の断面は川裏が高い）
